readiness,lane,bucket,score,address,thesis,alert_policy,risk,total_pnl,roi,win_rate,breakeven_payoff,max_drawdown_pct,closed_positions,avg_pnl_per_closed,account_value,leverage_ratio,open_positions_count,current_upnl,open_positions,behavior_tier,sortino_30d,mdd_30d_pct,consistency_30d_pct,data_quality,source_conflict_flag,recent_realized_sample,recent_sample_win_rate,recent_payoff_ratio,recent_profit_factor,recent_net_pnl,clean_tokens,noisy_tokens,recent_symbol_mix,labels
custom_watch_candidate,custom_token_watch,asymmetric_watch,77,0x86149addc2ebeb610d2630b07cbfea5c19fa690e,"Useful for custom watchlists, but not clean enough for the curated flagship feed.","Alert only for user-selected tokens: BTC, HYPE, ETH, TAO, SOL, DOGE.",leverage ratio 10.3x; trade-level payoff not confirmed from recent sample,110980.19,134.89,78.96,0.266,11.61,2595,42.77,21299.55,10.3,1,243.13,"ZEC S $42,618 uPnL $243 liq 4311.4411540683",asymmetric_behavior,35.15,10.8,87.5,usable,,24,66.7,0.6,1.19,3166.16,BTC; HYPE; ETH; TAO; SOL; DOGE; ZEC,,"BTC 14x $1,607,891 pnl $2,822 L/S 13/1; HYPE 13x $1,648,178 pnl $1,072 L/S 5/8; ETH 13x $1,102,633 pnl $4,942 L/S 12/1; TAO 8x $620,351 pnl $-5,286 L/S 8/0; SOL 4x $178,810 pnl $1,676 L/S 4/0; DOGE 2x $189,393 pnl $-2,060 L/S 2/0; ZEC 0x $42,618 pnl $243 L/S 0/1",Asymmetric Pro; Bullish; Large Gain; Scalper; Shark; Sustained Profit
custom_watch_candidate,custom_token_watch,review,60,0xbf1e78fcd3b89a8a3375e68a11a2e7412f24f2af,"Useful for custom watchlists, but not clean enough for the curated flagship feed.","Alert only for user-selected tokens: BTC, ETH, HYPE.",noisy/custom symbols xyz:CBRS; leverage ratio 10.12x; open uPnL $-33; trade-level payoff not confirmed from recent sample,146965.68,168.31,49.71,1.012,10.77,2213,66.41,7919.59,10.12,1,-32.99,"BTC S $80,058 uPnL $-33 liq 401656.2854017949",,,,,,,10,30,4.17,1.79,3804.88,BTC; ETH; HYPE,xyz:CBRS,"BTC 18x $6,944,847 pnl $3,911 L/S 17/1; xyz:CBRS 4x $29,008 pnl $-126 L/S 4/0; ETH 2x $137,356 pnl $-5 L/S 2/0; HYPE 2x $23,084 pnl $25 L/S 2/0",Breakeven; Bullish; Cons. Hi-Freq; Large Gain; Scalper; Shrimp
custom_watch_candidate,custom_token_watch,review,55,0x1fec14331b8a1d1af202fe71e99c7f1c552a9140,"Useful for custom watchlists, but not clean enough for the curated flagship feed.","Alert only for user-selected tokens: BTC, SOL.",leverage ratio 13.73x; trade-level payoff not confirmed from recent sample,40079.28,50.57,49.4,1.024,9.89,504,79.52,3490.24,13.73,0,0,,,,,,,,37,62.2,0.52,0.86,-237.34,BTC; SOL,,"BTC 70x $2,931,923 pnl $-100 L/S 55/15; SOL 14x $352,042 pnl $-137 L/S 14/0",Breakeven; Bullish; Cons. Hi-Freq; Large Gain; Scalper; Shrimp
custom_watch_candidate,custom_token_watch,review,45,0xeebd3f1efe690a690668be1c20d1471fe9c3966d,"Useful for custom watchlists, but not clean enough for the curated flagship feed.",Alert only for user-selected tokens: STBL.,trade-level payoff not confirmed from recent sample,49790.25,24.36,52.24,0.914,9.18,1495,33.3,224031.76,1,0,0,,,,,,,,98,33.7,1.81,0.92,-13.14,STBL,,"VINE 63x $5,339 pnl $-164 L/S 63/0; STBL 37x $651 pnl $150 L/S 37/0",Bullish; Low DD; Mid Gain; Scalper; Sustained Profit; Whale
custom_watch_candidate,custom_token_watch,review,34,0xed48b856556a69c7c40229c9c4c829b909257c9b,"Useful for custom watchlists, but not clean enough for the curated flagship feed.","Alert only for user-selected tokens: BTC, ETH.",trade-level payoff not confirmed from recent sample,178434.66,15.27,41.81,1.392,12.51,1557,114.6,1051084.03,7.92,2,539980.24,"ETH S $6,419,473 uPnL $634,052 liq 2616.0933902423; BTC L $1,912,825 uPnL $-94,072 liq 12877.3188570328",,,,,,,3,0,0,0,-12195.35,BTC; ETH,,"BTC 3x $2,774,995 pnl $-12,195 L/S 3/0; ETH 0x $6,419,473 pnl $634,052 L/S 0/1",Breakeven; Bullish; Cons. Hi-Freq; Large Gain; Mega Whale; Scalper
payoff_validation_needed,research_only,asymmetric_watch,91,0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; behavior tier asymmetric_behavior,414758.66,7897.83,65.88,0.518,7.53,1266,327.61,20771.96,1,0,0,,asymmetric_behavior,9.99,0.04,77.8,usable,,11,100,0,99,36805.62,,@272; xyz:MSTR; @107; xyz:CRWV; xyz:COIN,"@272 18x $288,725 pnl $0 L/S 18/0; xyz:MSTR 18x $115,138 pnl $0 L/S 18/0; @107 7x $160,116 pnl $36,339 L/S 0/7; xyz:CRWV 4x $24,206 pnl $467 L/S 4/0; xyz:COIN 1x $19,045 pnl $0 L/S 1/0",Breakeven; Bullish; Cons. Hi-Freq; Large Gain; Scalper; Shrimp
payoff_validation_needed,research_only,asymmetric_watch,56,0xe3c1447b94c5b278d9ec8d24855f5a5a2788542b,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; behavior tier asymmetric_behavior,56408.12,67.44,48.33,1.069,10.99,836,67.47,0,1,0,0,,asymmetric_behavior,4.41,18.08,50,usable_but_sparse,,0,0,0,0,0,,,,Breakeven; Long-term; Neutral; Shrimp; Small Gain; Volatile Strategy
payoff_validation_needed,research_only,review,66,0x99928208b49f9b5cca8e875834df9d9e5e008d8b,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,82686.82,8268682,55.35,0.807,16.08,851,97.16,0,42.36,0,0,,,,,,,,0,0,0,0,0,,,,Asymmetric Pro; Breakeven; Bullish; Large Gain; Scalper; Shrimp
payoff_validation_needed,research_only,review,65,0x85b3c124a704ae638622a1e99310f22eee7279c6,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",trade-level payoff not confirmed; not behavior scored,170618.05,179.49,66.23,0.51,16.33,1291,132.16,24477.09,8.45,2,-10120.04,"ETH S $130,749 uPnL $-11,574 liq 3157.3221032891; BTC L $76,449 uPnL $1,454 liq 9306.5176587342",,,,,,,0,0,0,0,0,ETH; BTC,xyz:AMZN,"xyz:AMZN 1x $13,140 pnl $0 L/S 1/0; ETH 0x $130,749 pnl $-11,574 L/S 0/1; BTC 0x $76,449 pnl $1,454 L/S 1/0",Breakeven; Bullish; Large Gain; Shark; Swinger; Volatile Strategy
payoff_validation_needed,research_only,review,60,0xa38747075ee46e51abdeb96e699fe60efe19b933,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,127101.26,0,74.8,0.337,2.4,881,144.27,15525.95,1,0,0,,,,,,,,2,0,0,0,-83586.57,,xyz:CBRS,"xyz:CBRS 8x $743,492 pnl $-83,587 L/S 8/0",Aggr. Hi-Freq; Bullish; Large Gain; Scalper; Shark; Volatile Profit
